7zip 24.09-3
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
ada 2.9.0-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
akonadi-contacts 24.12.0-1
akonadi-mime 24.12.0-1
alsa-card-profiles 1:1.2.7-1
alsa-lib 1.2.13-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
altserver-bin 0.0.5-1
altserver-bin-debug 0.0.5-1
altserver-gui 0.1.8-1
android-studio 2024.2.1.12-1
android-tools 35.0.2-10
android-udev 20241109-1
aom 3.11.0-1
appstream 1.0.4-1
appstream-qt 1.0.4-1
archlinux-appstream-data 20241214-1
archlinux-keyring 20241203-1
argon2 20190702-6
aria2 1.37.0-1
aribb24 1.0.3-4
ark 24.12.0-1
asciidoctor 2.0.23-3
asunder 3.0.1-2
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
attica 6.9.0-1
attica5 5.116.0-1
attr 2.5.2-1
audit 4.0.2-3
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
babl 0.1.110-1
baloo 6.9.0-1
baloo-widgets 24.12.0-1
baobab 47.0-1
base 3-2
base-devel 1-2
bash 5.2.037-1
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-8
blas 3.12.0-5
blosc 1.21.6-1
bluedevil 1:6.2.4-1
blueman 2.4.3-2
bluez 5.79-1
bluez-libs 5.79-1
bluez-qt 6.9.0-1
bluez-utils 5.79-1
bolt 0.9.8-1
boost-libs 1.86.0-4
breeze 6.2.4-1
breeze-gtk 6.2.4-1
breeze-icons 6.9.0-1
breeze-plymouth 6.2.4-1
brltty 6.7-2
brotli 1.1.0-3
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.107-1
ca-certificates-utils 20240618-1
cairo 1.18.2-2
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-2
capstone 5.0.3-2
cbindgen 0.27.0-1
cblas 3.12.0-5
cdparanoia 10.2-9
cfitsio 1:4.5.0-1
cheese 44.1-3
chromaprint 1.5.1-9
chromium 131.0.6778.204-1
cifs-utils 7.1-1
cinnamon-desktop 6.4.1-1
clang 18.1.8-5
clinfo 3.0.23.01.25-1
clutter 1.26.4-3
clutter-gst 3.0.27-5
clutter-gtk 1.8.4-4
cmake 3.31.3-1
cmark 0.31.1-1
code 1.96.2-1
cogl 1.22.8-3
coin 4.0.3-1
colord 1.4.7-2
compiler-rt 18.1.8-1
composefs 1.0.4-1
convertlit 1.8-12
coreutils 9.5-2
cpio 2.15-2
cppdap 1.58.0-2
cracklib 2.10.3-1
cryptsetup 2.7.5-1
curl 8.11.1-3
dav1d 1.5.0-1
db5.3 5.3.28-5
dbus 1.16.0-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dconf 0.40.0-3
ddcutil 2.1.4-2
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.29-1
diffutils 3.10-1
discount 3.0.0.d-1
discover 6.2.4-1
dkms 3.1.4-1
dmidecode 3.6-1
dnsmasq 2.90-1
dolphin 24.12.0.1-1
dosfstools 4.2-5
double-conversion 3.3.0-2
drkonqi 6.2.4-1
dtc 1.7.2-3
duktape 2.7.0-7
dump_syms 2.3.4-1
e2fsprogs 1.47.1-4
ebook-tools 0.2.2-8
editorconfig-core-c 0.12.9-1
edk2-aarch64 202411-1
edk2-arm 202411-1
edk2-ovmf 202411-1
efibootmgr 18-3
efivar 39-1
electron32 32.2.7-1
enchant 2.8.2-1
enet 1.3.18-1
exempi 2.6.5-1
exiv2 0.28.3-1
exo 4.20.0-2
expat 2.6.4-1
extra-cmake-modules 6.9.0-1
faac 1.30-5
faad2 2.11.1-1
fakeroot 1.36.2-1
ffmpeg 2:7.1-5
ffmpeg4.4 4.4.5-2
fftw 3.3.10-7
file 5.46-2
filesystem 2024.11.21-1
findutils 4.10.0-2
fio 3.38-1
firedragon 1:11.21.0_1-1
firefox 133.0.3-2
fish 3.7.1-2
flac 1.4.3-2
flatpak 1:1.15.91-1
